type,word,colour,correct_key,trialsStroop.thisRepN,trialsStroop.thisTrialN,trialsStroop.thisN,trialsStroop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeMessage.started,keywelcome.started,WelcomeScreen.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,Strooptrial.started,textStroopWord.started,keyStroop.started,Strooptrial.stopped,keyStroop.keys,keyStroop.corr,keyStroop.rt,keyStroop.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
incongruent,BLUE,green,g,0,20,20,21,27.26181669998914,,,,,,,,,27.87975120008923,27.895034300046973,27.895034300046973,28.395351300016046,28.395351300016046,28.37965720007196,27.246690700063482,27.26181669998914,27.26181669998914,27.879347800044343,g,1,0.613135899999179,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,RED,blue,b,0,21,21,4,28.395351300016046,,,,,,,,,29.646911700023338,29.6617666000966,29.6617666000966,30.161919800098985,30.161919800098985,30.14688630006276,28.380139700020663,28.395351300016046,28.395351300016046,29.646504800068215,b,1,1.2395718999905512,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,BLUE,red,r,0,22,22,5,30.161919800098985,,,,,,,,,31.180507000070065,31.19526270008646,31.19526270008646,31.695215600077063,31.695215600077063,31.679513700073585,30.147381599992514,30.161919800098985,30.161919800098985,31.180042500025593,r,1,1.0094746999675408,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,0,23,23,16,31.695215600077063,,,,,,,,,32.181048800004646,32.19521939998958,32.19521939998958,32.69520920002833,32.69520920002833,32.67949300003238,31.679885199991986,31.695215600077063,31.695215600077063,32.18056210002396,r,1,0.4835779999848455,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,BLUE,blue,b,1,0,24,1,32.69520920002833,,,,,,,,,33.49646970001049,33.51197540003341,33.51197540003341,34.01194240001496,34.01194240001496,33.99608100007754,32.679885899997316,32.69520920002833,32.69520920002833,33.49606140004471,b,1,0.7962067999178544,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,RED,blue,b,1,1,25,4,34.01194240001496,,,,,,,,,34.53063320007641,34.54512180003803,34.54512180003803,35.04503190005198,35.04503190005198,35.02948750008363,33.996480100089684,34.01194240001496,34.01194240001496,34.53007070010062,b,1,0.5033703999361023,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,1,2,26,11,35.04503190005198,,,,,,,,,35.54792410007212,35.562028800020926,35.562028800020926,36.06174620008096,36.06174620008096,36.04552889999468,35.02983600005973,35.04503190005198,35.04503190005198,35.54719990002923,y,1,0.4941140000009909,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,RED,red,r,1,3,27,8,36.06174620008096,,,,,,,,,36.66302269999869,36.67861050006468,36.67861050006468,,,37.16367700009141,36.04584700008854,36.06174620008096,36.06174620008096,36.66261940007098,r,1,0.597343200002797,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,yellow,y,1,4,28,6,37.17857900005765,,,,,,,,,38.11272130010184,38.12835160002578,38.12835160002578,38.62889210006688,38.62889210006688,38.612686500069685,37.1645598000614,37.17857900005765,37.17857900005765,38.11245770007372,g,0,0.9202356000896543,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,blue,b,1,5,29,14,38.62889210006688,,,,,,,,,40.580241700052284,40.59495699999388,40.59495699999388,41.09595089999493,41.09595089999493,41.08027690008748,38.613054000074044,38.62889210006688,38.62889210006688,40.57975040003657,b,1,1.9345157999778166,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,GREEN,red,r,1,6,30,22,41.09595089999493,,,,,,,,,43.27968610008247,43.29509870009497,43.29509870009497,43.79523839999456,43.79523839999456,43.779460299992934,41.08076160005294,41.09595089999493,41.09595089999493,43.279305900097825,r,1,2.1706461999565363,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,red,r,1,7,31,15,43.79523839999456,,,,,,,,,44.947580600040965,44.961962200002745,44.961962200002745,45.46222410001792,45.46222410001792,45.44618289999198,43.77983610006049,43.79523839999456,43.79523839999456,44.94710099999793,r,1,1.135839099995792,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,YELLOW,yellow,y,1,8,32,19,45.46222410001792,,,,,,,,,46.02992180001456,46.04465880000498,46.04465880000498,46.54616370005533,46.54616370005533,46.529306999989785,45.446592900087126,45.46222410001792,45.46222410001792,46.0294516000431,y,1,0.5570597000187263,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,YELLOW,green,g,1,9,33,7,46.54616370005533,,,,,,,,,47.963289600098506,47.97850359999575,47.97850359999575,48.47861130000092,48.47861130000092,48.46278310008347,46.52987910003867,46.54616370005533,46.54616370005533,47.9628481999971,g,1,1.4093268000287935,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
congruent,BLUE,blue,b,1,10,34,9,48.47861130000092,,,,,,,,,48.94708620000165,48.962042800034396,48.962042800034396,49.46193480002694,49.46193480002694,49.44621230009943,48.463154099998064,48.47861130000092,48.47861130000092,48.946600800030865,b,1,0.452765200054273,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
incongruent,RED,green,g,1,11,35,12,49.46193480002694,,,,,,,,,50.046461799996905,50.0621743000811,50.0621743000811,50.562324900063686,50.562324900063686,50.54631630005315,49.44658770004753,49.46193480002694,49.46193480002694,50.046083500026725,g,1,0.5729282000102103,None,,,,,,,,0d000721,002,2024-05-22_09h57.06.000,stroop,2023.2.3,60.00214807928742,2024-05-22 09h57.20.551340 +0800,
