Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.05,90,0.8,1,right,2,12,44,13,79.164503899985,,,,,,,,,79.68159659998491,79.69798950001132,79.69798950001132,80.19786259997636,80.19786259997636,80.18143840006087,79.14833060000092,79.164503899985,79.164503899985,79.68140550004318,up,0,0.5053493999876082,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,2,13,45,4,80.19786259997636,,,,,,,,,80.58145140006673,80.59780280000996,80.59780280000996,81.09782310004812,81.09782310004812,81.08156940003391,80.18161880003754,80.19786259997636,80.19786259997636,80.58126930007711,right,0,0.36801570001989603,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,2,14,46,14,81.09782310004812,,,,,,,,,81.48134699999355,81.49784630001523,81.49784630001523,81.99789210001472,81.99789210001472,81.98142289998941,81.08174370008055,81.09782310004812,81.09782310004812,81.48114160005935,down,0,0.37998889992013574,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,2,15,47,0,81.99789210001472,,,,,,,,,82.71586250001565,82.73147250001784,82.73147250001784,83.23129350005183,83.23129350005183,83.21505210001487,81.9816936000716,81.99789210001472,81.99789210001472,82.7154233000474,right,1,0.7118160000536591,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,3,0,48,5,83.23129350005183,,,,,,,,,83.64911780005787,83.6646277999971,83.6646277999971,84.16463540005498,84.16463540005498,84.14823280007113,83.21524519997183,83.23129350005183,83.23129350005183,83.64892010006588,up,0,0.40634300000965595,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,3,1,49,2,84.16463540005498,,,,,,,,,84.84896700002719,84.86483380000573,84.86483380000573,85.36469630000647,85.36469630000647,85.34848060004879,84.14842520002276,84.16463540005498,84.16463540005498,84.84875830006786,left,0,0.6741302000591531,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,180,0.1,1,down,3,2,50,10,85.36469630000647,,,,,,,,,85.83218180004042,85.84798409999348,85.84798409999348,86.34866780007724,86.34866780007724,86.33242810005322,85.34866650006734,85.36469630000647,85.36469630000647,85.8319715000689,left,0,0.46573269995860755,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,3,3,51,4,86.34866780007724,,,,,,,,,86.95019750006031,86.96556270006113,86.96556270006113,87.46531660004985,87.46531660004985,87.44923570007086,86.33276730007492,86.34866780007724,86.34866780007724,86.94941560004372,right,0,0.5855919000459835,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,3,4,52,3,87.46531660004985,,,,,,,,,88.30035480007064,88.3155860999832,88.3155860999832,88.81550879997667,88.81550879997667,88.79915910004638,87.44962720002513,87.46531660004985,87.46531660004985,88.29956970002968,up,0,0.8287964999908581,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,3,5,53,9,88.81550879997667,,,,,,,,,89.51837349997368,89.53240590007044,89.53240590007044,90.03213880001567,90.03213880001567,90.01604280003812,88.79951949999668,88.81550879997667,88.81550879997667,89.51719949999824,left,0,0.6942657000618055,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,0,0.8,1,up,3,6,54,12,90.03213880001567,,,,,,,,,90.48306230001617,90.49863330007065,90.49863330007065,90.99862730002496,90.99862730002496,90.98248430003878,90.01640640001278,90.03213880001567,90.03213880001567,90.48239440005273,right,0,0.43795319995842874,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,180,0.8,1,left,3,7,55,6,90.99862730002496,,,,,,,,,91.41752420004923,91.43215960008092,91.43215960008092,91.93196850002278,91.93196850002278,91.91576870006975,90.98282959999051,90.99862730002496,90.99862730002496,91.41683390003163,left,1,0.41575200005900115,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,3,8,56,7,91.93196850002278,,,,,,,,,92.41524020000361,92.4316691000713,92.4316691000713,92.93125570006669,92.93125570006669,92.91525459999684,91.91610130004119,91.93196850002278,91.93196850002278,92.41486540006008,down,1,0.47470260004047304,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,270,0.8,1,down,3,9,57,15,92.93125570006669,,,,,,,,,93.39819069998339,93.41455340001266,93.41455340001266,93.91478750004899,93.91478750004899,93.898229500046,92.91546000004746,92.93125570006669,92.93125570006669,93.39796580001712,down,1,0.45128120004665107,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,0,0.1,1,right,3,10,58,8,93.91478750004899,,,,,,,,,94.58214329998009,94.59798070008401,94.59798070008401,95.09786580002401,95.09786580002401,95.08151639997959,93.89841800008435,93.91478750004899,93.91478750004899,94.58182560000569,right,1,0.6517401000019163,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.05,90,0.8,1,right,3,11,59,13,95.09786580002401,,,,,,,,,95.53191760007758,95.54787910007872,95.54787910007872,96.04805780004244,96.04805780004244,96.03143129998352,95.08177290007006,95.09786580002401,95.09786580002401,95.53174590005074,up,0,0.4280512999976054,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,270,0.1,1,left,3,12,60,11,96.04805780004244,,,,,,,,,96.63136480003595,96.64791020005941,96.64791020005941,,,97.13139320001937,96.03158930002246,96.04805780004244,96.04805780004244,96.63119109999388,left,1,0.5670080999843776,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
0.01,90,0.1,1,up,3,13,61,1,97.1479937999975,,,,,,,,,97.81499270000495,97.8312538000755,97.8312538000755,98.33122910000384,98.33122910000384,98.31475190003403,97.13157309999224,97.1479937999975,97.1479937999975,97.81464730005246,left,0,0.6504175000591204,None,,,,,,,,0d000721,001,2024-05-22_09h59.25.221,RDK,2023.2.3,59.999231990013016,2024-05-22 09h59.34.919239 +0800,
