Dotsspeed,Dotsdirec,Dotscoherence,DotsNum,corrAns,trialsRDK.thisRepN,trialsRDK.thisTrialN,trialsRDK.thisN,trialsRDK.thisIndex,thisRow.t,notes,WelcomScreen.started,Welcome.started,key_Welcome.started,WelcomScreen.stopped,key_Welcome.keys,key_Welcome.rt,key_Welcome.duration,blank500.started,textBlank500.started,polygon.started,textBlank500.stopped,polygon.stopped,blank500.stopped,RDKtrial.started,dots.started,key_resp.started,RDKtrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,dots.stopped,key_resp.stopped,GoodbyeScreen.started,Goodbye.started,key_Goodbye.started,GoodbyeScreen.stopped,key_Goodbye.keys,key_Goodbye.rt,key_Goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.05,90,0.8,1,right,0,9,9,5,14.9618388999952,,,,,,,,,15.445163600030355,15.461756100063212,15.461756100063212,,,15.945507000084035,14.946216100011952,14.9618388999952,14.9618388999952,15.44480779999867,up,0,0.4705522001022473,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,0,10,10,6,15.962010200018995,,,,,,,,,16.348138400004245,16.362010000040755,16.362010000040755,16.861785100074485,16.861785100074485,16.845872799982317,15.94596480007749,15.962010200018995,15.962010200018995,16.34722870006226,left,1,0.38290309999138117,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,0,0.1,1,right,0,11,11,0,16.861785100074485,,,,,,,,,17.547486800001934,17.56206850009039,17.56206850009039,18.06187990005128,18.06187990005128,18.04579810006544,16.846303800004534,16.861785100074485,16.861785100074485,17.546434800024144,right,1,0.6669289999408647,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,0,12,12,10,18.06187990005128,,,,,,,,,19.778103600023314,19.794609499978833,19.794609499978833,20.294448100030422,20.294448100030422,20.278064600075595,18.04621230007615,18.06187990005128,18.06187990005128,19.77792290004436,left,0,1.7074261999223381,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,0,13,13,14,20.294448100030422,,,,,,,,,20.76224379998166,20.777970600058325,20.777970600058325,21.278344499995,21.278344499995,21.262583900010213,20.27824250003323,20.294448100030422,20.294448100030422,20.762028000084683,left,1,0.466555199935101,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,90,0.8,1,right,0,14,14,13,21.278344499995,,,,,,,,,21.746603999985382,21.7614709000336,21.7614709000336,22.26190620008856,22.26190620008856,22.246031900052913,21.26300929998979,21.278344499995,21.278344499995,21.745851000072435,up,0,0.4591279000742361,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,270,0.8,1,down,0,15,15,15,22.26190620008856,,,,,,,,,22.747054300038144,22.762184799998067,22.762184799998067,23.26191490003839,23.26191490003839,23.246239900006913,22.246441600029357,22.26190620008856,22.26190620008856,22.746224600006826,down,1,0.4666717000072822,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,270,0.1,1,left,1,0,16,11,23.26191490003839,,,,,,,,,25.380903400015086,25.395409999997355,25.395409999997355,25.89534150005784,25.89534150005784,25.879256100044586,23.24665470002219,23.26191490003839,23.26191490003839,25.379918300081044,left,1,2.1066295999335125,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.01,180,0.1,1,down,1,1,17,2,25.89534150005784,,,,,,,,,26.547840400016867,26.562234900076874,26.562234900076874,27.0620043000672,27.0620043000672,27.046031199977733,25.879657500074245,25.89534150005784,25.89534150005784,26.546844199998304,left,0,0.6418285999679938,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
0.05,180,0.8,1,left,1,2,18,14,27.0620043000672,,,,,,,,,27.56505069998093,27.57909400004428,27.57909400004428,28.07873270008713,28.07873270008713,28.062662900076248,27.046450600028038,27.0620043000672,27.0620043000672,27.564199600019492,left,1,0.49895139993168414,None,,,,,,,,,,0d000721,002,2024-05-22_10h01.53.803,RDK,2023.2.3,59.998368059901175,2024-05-22 10h02.04.753975 +0800,
